Account,Title,Subscribers,Views,Likes,Comments,Shares
ratuauliaa22,ratuauliatp,11600000,3400000,398600,5400,1400
chamberlin_kevin,Kevin Chamberlin,8200000,2100000,403900,8400,2700
oppomexico,OPPO México,290100,32200000,116700,1700,771
ayuwisya666,ayuwisya,1500000,3200000,380500,6300,1200
com.yuma1214,【コムドット】ゆうま,746400,2200000,332400,7800,4600
dilanjaniyar,Emang namanya Dilan,1500000,4200000,499300,3600,722
shabdanovaaa,SHABDANOVAaa,640500,3000000,300400,564,9400
slavamarlow,Отвратительные вайны,3600000,6900000,450300,2300,621
jahdedios.77,jahdedios,795300,1500000,350500,13900,3700
cesarpantoja.n,Cesar Pantoja,12000000,3000000,413500,6900,348
alexwaarren,Alex warren,14800000,4700000,862400,1400,783
onlyjayus,Isabella Avila,17100000,2400000,383700,6200,3400
brentfordfc,Brentford FC,762600,2600000,308200,6500,4500
codenamejesse,Jesse Hill,1300000,2700000,491700,3300,3300
h2woofficial,H2WO,4900000,3500000,438800,3800,1900
misskatiebug,( ˘ ³˘)♥︎,820100,1400000,323200,6900,12400
_tusya_kiskis,_Tusya_kiskis,5600000,2400000,247800,3200,11400
jasonderulo,Jason Derulo,51300000,3200000,452000,4000,1900
brandonspam_,Brandon Conner,6800000,3700000,453300,4200,862
brentrivera,Brent Rivera,42400000,3800000,524600,2800,1400
ilusha_help,ilusha_help,4300000,4400000,145700,2000,10900
cbum,Chris Bumstead,1400000,3000000,370900,2400,5200
alaa.ayyman,ALaa Ayman,7400000,5100000,412400,2200,1700
marinemammalrescue,Marine Mammal Rescue,1500000,1300000,335900,3800,14900
phamvinh99,Phạm Vinh,2400000,4500000,442200,2700,1500
anisatcheba,anis_atc,779600,2400000,147500,3200,20100
thefatkage,FatKage,652700,2800000,490900,3200,2600
jack.wright,jack wright,10200000,3800000,491600,3700,601
baraa.bolat,@baraabolat,1100000,4800000,200500,4800,3600
lights.are.off,LIGHTS ARE OFF,18100000,2800000,357300,4700,3300
pandkourt,Kourtney-Penelope,3000000,3900000,835900,0,2500
chang._.a,창하CHANGHA,20300000,1900000,399500,9400,1100
itsmatheuscosta,Matheus Costa,4100000,2400000,320500,3400,6900
juliagisella,Julia Gisella,10000000,1500000,297000,6000,11700
notshanebennett,Shane Bennett,2000000,4100000,569800,2500,853
39jeshi,jessy,2100000,1600000,641300,5600,2000
emillyvickof,Emilly Vick,8800000,6100000,522100,1600,902
haileybieber,Hailey Bieber,7400000,2600000,414500,3800,3300
robegrill,Roberto Morales,9600000,3200000,387500,2800,3400
diegodiego_,Diego Cruz,6900000,3100000,481400,3200,1900
nicollefigueroaa,Nicolle Figueroa,9100000,3700000,470100,3300,1100
danythegaggio,Daniele Cabras,2600000,1800000,269900,2900,12700
klrdubs,KLR Dubs,6200000,2000000,385800,1500,8300
benoftheweek,ben de almeida,10000000,2800000,432600,5500,772
cemresolmaz,cemre solmaz,10100000,2900000,218000,10000,1900
jimena.jimenezr,Jimena,22600000,3500000,485000,1800,2600
carolcastromx,Carol Castro,7900000,3800000,527000,3200,517
kalebkonig,Kaleb,1200000,2400000,332500,5000,4500
gemeasdafer,Fernanda Cintra,2200000,3600000,359900,2300,3400
montpantoja,Montpantoja,31600000,3300000,571300,3100,828
scottkress_,scottkress,2700000,1500000,357900,8300,5800
com.yamato0515,【コムドット】やまと,1600000,2100000,274900,8100,4600
imshawnsutton,Shawn Sutton,4600000,3300000,346900,1500,4800
vadim_rush,Вадим,2800000,2300000,346000,5500,3600
jakepaul,Jake Paul,15900000,3800000,377900,3500,1600
barbaracoura,Bárbara Coura,7300000,2700000,426800,3600,2600
lucaluceofficial,Luca Luce,1600000,4100000,286100,3700,2500
afrae.es,Afraa,5700000,4800000,317100,1700,3000
_bangtanbtss_,BTS,3700000,1700000,412900,1900,8100
_dirtyelbows,Audrey,5600,2700000,330700,4000,3800
maharanikemala,maharanikemala,3000000,2900000,318800,5500,2100
leeansalinass,LeeanSalinas,898300,4100000,373300,2600,2100
iben_ma,Iben M.A.,5100000,4700000,376800,3600,334
theonlycb3,Charles Brockman III,5000000,2100000,416700,3200,4700
sehataqua,SehatAQUA,172600,24300000,123100,1300,965
divabry,✨Divabry✨,2700000,2600000,394100,2500,4200
efdewee,efdewe 🐣,5900000,3400000,238800,7300,1300
murat_yilmaz87,دوشكازير,964900,5400000,223400,3000,2600
kaan.etm,Kaan,2500000,1700000,384200,6400,4100
betel70,Betel70,524500,3400000,283600,2900,4200
jake.mutch,Jake Mutch,589100,1200000,298500,1300,17400
robsonabreu,Robson Abreu,2900000,2400000,159400,16700,773
jeison_giraldo,JeisonGiraldo,23900000,4600000,565600,2200,395
gemelasabello2,gemelasabello2,12000000,5500000,463800,1100,1500
miketoks,Miketoks,10600000,3300000,365800,2500,2900
nobrutv,Bruno Goes,7800000,3300000,328300,4200,1900
reba,Reba McEntire,2400000,1900000,303400,7400,4000
mndiaye_97,mndiaye_97,14100000,2200000,427500,3700,3200
king.science,King Science,12700000,2200000,592900,3100,1900
ana_eusse,Ana Maria,9600000,4400000,570200,2100,460
___nicoichi___,NICO【平成フラミンゴ】,1100000,2600000,297200,4900,3300
leaelui,Lea Elui,16800000,3600000,454100,1900,2000
oironyoliveira,Kbuloso 😈,5600000,1600000,142800,705,26900
beasteater,BeastEater,17400000,4800000,460200,2100,713
alejandroppuente,Alejandro Puente,351700,2000000,363900,5900,2900
chris,Chris Olsen,6400000,3100000,431100,2500,2200
stephen_benihagan,STEPHEN,8700000,5300000,209600,4800,788
milos.guzel,Milos,4700000,3400000,490400,2500,1300
greeicybaila,Greeicy ,8000000,4600000,494700,1400,1300
cocinaconcoqui,cocinaconcoqui,1600000,2600000,347800,1100,5600
gustavomeloof,Gustavo Melo,4400000,2400000,135200,3800,14800
mariajosegi,majo,1400000,2500000,516300,2700,2000
donday,Don Day,3900000,6100000,356900,1400,1400
joslum,José L,10300000,3100000,539600,2200,1400
magicnonik,Magic Nonik,2200000,5200000,559400,1200,803
thetortoisewhisperer,Tortoise Whisperer,5300000,3100000,339200,3000,2700
sammy_dao222,Sammy Đào,2200000,2000000,316700,7500,1800
dementekovacs,Martin Kovacs,2000000,2300000,431100,3000,3000
ahmdpubg,احمد سبورات بوبجي,206600,6400000,131400,3000,4000
koolkuntkaz,kara,282500,2900000,451500,2700,1800
anokhinalz,Аnokhina Liza,33500000,3600000,403800,3500,560
murphslife,Aaron Murphy,3700000,2000000,237400,3600,8900
jaywheeler,Jay Wheeler,4600000,1900000,328400,3500,5900
skaijackson,Skai Jackson 🥰,19500000,2400000,492800,3400,1600
marianna.balsamo,Mariannita 👑,1300000,7200000,420400,1100,770
lucaslopezvilet,Lucas Lopez,2400000,2000000,257300,2200,9200
twohottakes,Two Hot Takes,2600000,1800000,304700,8900,1500
farhakhalidi,Farha Khalidi,1200000,3000000,282200,5100,1600
egorkreed,Егор Крид,11800000,3300000,362200,3400,1400
zoekanolnot,zoe,1400000,1100000,306700,4800,11600
itsmenicksmithy2,Nick Smithyman 😎,8400000,3300000,330100,2800,2200
jojohfsex,fullhyp3,1200000,2600000,345300,3800,2400
zusjeofficial,ZUSJE,6900000,5900000,315000,2100,840
simplesmentenoix,Simplesmente Noix 🥰,6100000,3000000,433900,3000,1200
lupillafran,Maria Guadalupe,398800,2900000,336600,3100,2500
otakoyakisoba,otakoyakisoba,13300000,3800000,308100,2100,2500
wren.eleanor,Wren & Jacquelyn,16800000,3000000,383100,2200,2400
soylamorena,La Morena,6000000,2100000,211500,1800,10200
kikakiim,Kika Kim,27700000,3100000,407200,2700,1500
azizxj,Quran recitations -,866800,959700,213200,10200,15600
renpc_,renpc_,2500000,1800000,313100,2100,7500
maxthemeatguy,Max The Meat Guy,3200000,4200000,441800,1200,1600
fishingarrett,Fishingarrett,1900000,2100000,322300,3200,4400
pandasakha,PandaSakha,3000000,6000000,238600,2500,1100
internetfunny,INTERNETFUNNY,1900000,1700000,423900,1900,5100
